task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Task2,0.5,2600.0,2603.0,2606.0,2700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2600.0,2606.0,2609.0,2700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2600.0,2609.0,2612.0,2700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2700.0,2700.0,2703.0,2800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2700.0,2703.0,2706.0,2800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2700.0,2706.0,2709.0,2800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2700.0,2709.0,2712.0,2800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2800.0,2800.0,2803.0,2900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2800.0,2803.0,2806.0,2900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2800.0,2806.0,2809.0,2900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2800.0,2809.0,2812.0,2900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2900.0,2900.0,2903.0,3000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2900.0,2903.0,2906.0,3000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2900.0,2906.0,2909.0,3000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2900.0,2909.0,2912.0,3000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3000.0,3000.0,3003.0,3100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3000.0,3003.0,3006.0,3100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3000.0,3006.0,3009.0,3100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3000.0,3009.0,3012.0,3100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3100.0,3100.0,3103.0,3200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3100.0,3103.0,3106.0,3200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3100.0,3106.0,3109.0,3200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3100.0,3109.0,3112.0,3200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3200.0,3200.0,3203.0,3300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3200.0,3203.0,3206.0,3300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3200.0,3206.0,3209.0,3300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3200.0,3209.0,3212.0,3300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3300.0,3300.0,3303.0,3400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3300.0,3303.0,3306.0,3400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3300.0,3306.0,3309.0,3400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3300.0,3309.0,3312.0,3400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3400.0,3400.0,3403.0,3500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3400.0,3403.0,3406.0,3500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3400.0,3406.0,3409.0,3500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3400.0,3409.0,3412.0,3500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3500.0,3500.0,3503.0,3600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3500.0,3503.0,3506.0,3600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3500.0,3506.0,3509.0,3600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3500.0,3509.0,3512.0,3600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3600.0,3600.0,3603.0,3700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3600.0,3603.0,3606.0,3700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3600.0,3606.0,3609.0,3700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3600.0,3609.0,3612.0,3700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3700.0,3700.0,3703.0,3800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3700.0,3703.0,3706.0,3800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3700.0,3706.0,3709.0,3800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3700.0,3709.0,3712.0,3800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3800.0,3800.0,3803.0,3900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3800.0,3803.0,3806.0,3900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3800.0,3806.0,3809.0,3900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3800.0,3809.0,3812.0,3900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,3900.0,3900.0,3903.0,4000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,3900.0,3903.0,3906.0,4000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,3900.0,3906.0,3909.0,4000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,3900.0,3909.0,3912.0,4000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4000.0,4000.0,4003.0,4100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4000.0,4003.0,4006.0,4100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4000.0,4006.0,4009.0,4100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4000.0,4009.0,4012.0,4100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4100.0,4100.0,4103.0,4200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4100.0,4103.0,4106.0,4200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4100.0,4106.0,4109.0,4200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4100.0,4109.0,4112.0,4200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4200.0,4200.0,4203.0,4300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4200.0,4203.0,4206.0,4300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4200.0,4206.0,4209.0,4300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4200.0,4209.0,4212.0,4300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4300.0,4300.0,4303.0,4400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4300.0,4303.0,4306.0,4400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4300.0,4306.0,4309.0,4400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4300.0,4309.0,4312.0,4400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4400.0,4400.0,4403.0,4500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4400.0,4403.0,4406.0,4500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4400.0,4406.0,4409.0,4500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4400.0,4409.0,4412.0,4500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4500.0,4500.0,4503.0,4600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4500.0,4503.0,4506.0,4600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4500.0,4506.0,4509.0,4600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4500.0,4509.0,4512.0,4600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4600.0,4600.0,4603.0,4700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4600.0,4603.0,4606.0,4700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4600.0,4606.0,4609.0,4700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4600.0,4609.0,4612.0,4700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4700.0,4700.0,4703.0,4800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4700.0,4703.0,4706.0,4800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4700.0,4706.0,4709.0,4800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4700.0,4709.0,4712.0,4800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4800.0,4800.0,4803.0,4900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4800.0,4803.0,4806.0,4900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4800.0,4806.0,4809.0,4900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4800.0,4809.0,4812.0,4900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,4900.0,4900.0,4903.0,5000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,4900.0,4903.0,4906.0,5000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,4900.0,4906.0,4909.0,5000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,4900.0,4909.0,4912.0,5000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5000.0,5000.0,5003.0,5100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5000.0,5003.0,5006.0,5100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5000.0,5006.0,5009.0,5100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5000.0,5009.0,5012.0,5100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5100.0,5100.0,5103.0,5200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5100.0,5103.0,5106.0,5200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5100.0,5106.0,5109.0,5200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5100.0,5109.0,5112.0,5200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5200.0,5200.0,5203.0,5300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5200.0,5203.0,5206.0,5300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5200.0,5206.0,5209.0,5300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5200.0,5209.0,5212.0,5300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5300.0,5300.0,5303.0,5400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5300.0,5303.0,5306.0,5400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5300.0,5306.0,5309.0,5400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5300.0,5309.0,5312.0,5400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5400.0,5400.0,5403.0,5500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5400.0,5403.0,5406.0,5500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5400.0,5406.0,5409.0,5500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5400.0,5409.0,5412.0,5500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5500.0,5500.0,5503.0,5600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5500.0,5503.0,5506.0,5600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5500.0,5506.0,5509.0,5600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5500.0,5509.0,5512.0,5600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5600.0,5600.0,5603.0,5700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5600.0,5603.0,5606.0,5700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5600.0,5606.0,5609.0,5700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5600.0,5609.0,5612.0,5700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5700.0,5700.0,5703.0,5800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5700.0,5703.0,5706.0,5800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5700.0,5706.0,5709.0,5800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5700.0,5709.0,5712.0,5800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5800.0,5800.0,5803.0,5900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5800.0,5803.0,5806.0,5900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5800.0,5806.0,5809.0,5900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5800.0,5809.0,5812.0,5900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,5900.0,5900.0,5903.0,6000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,5900.0,5903.0,5906.0,6000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,5900.0,5906.0,5909.0,6000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,5900.0,5909.0,5912.0,6000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6000.0,6000.0,6003.0,6100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6000.0,6003.0,6006.0,6100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6000.0,6006.0,6009.0,6100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6000.0,6009.0,6012.0,6100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6100.0,6100.0,6103.0,6200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6100.0,6103.0,6106.0,6200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6100.0,6106.0,6109.0,6200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6100.0,6109.0,6112.0,6200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6200.0,6200.0,6203.0,6300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6200.0,6203.0,6206.0,6300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6200.0,6206.0,6209.0,6300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6200.0,6209.0,6212.0,6300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6300.0,6300.0,6303.0,6400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6300.0,6303.0,6306.0,6400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6300.0,6306.0,6309.0,6400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6300.0,6309.0,6312.0,6400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6400.0,6400.0,6403.0,6500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6400.0,6403.0,6406.0,6500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6400.0,6406.0,6409.0,6500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6400.0,6409.0,6412.0,6500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6500.0,6500.0,6503.0,6600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6500.0,6503.0,6506.0,6600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6500.0,6506.0,6509.0,6600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6500.0,6509.0,6512.0,6600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6600.0,6600.0,6603.0,6700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6600.0,6603.0,6606.0,6700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6600.0,6606.0,6609.0,6700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6600.0,6609.0,6612.0,6700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6700.0,6700.0,6703.0,6800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6700.0,6703.0,6706.0,6800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6700.0,6706.0,6709.0,6800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6700.0,6709.0,6712.0,6800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6800.0,6800.0,6803.0,6900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6800.0,6803.0,6806.0,6900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6800.0,6806.0,6809.0,6900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6800.0,6809.0,6812.0,6900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,6900.0,6900.0,6903.0,7000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,6900.0,6903.0,6906.0,7000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,6900.0,6906.0,6909.0,7000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,6900.0,6909.0,6912.0,7000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7000.0,7000.0,7003.0,7100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7000.0,7003.0,7006.0,7100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7000.0,7006.0,7009.0,7100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7000.0,7009.0,7012.0,7100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7100.0,7100.0,7103.0,7200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7100.0,7103.0,7106.0,7200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7100.0,7106.0,7109.0,7200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7100.0,7109.0,7112.0,7200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7200.0,7200.0,7203.0,7300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7200.0,7203.0,7206.0,7300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7200.0,7206.0,7209.0,7300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7200.0,7209.0,7212.0,7300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7300.0,7300.0,7303.0,7400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7300.0,7303.0,7306.0,7400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7300.0,7306.0,7309.0,7400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7300.0,7309.0,7312.0,7400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7400.0,7400.0,7403.0,7500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7400.0,7403.0,7406.0,7500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7400.0,7406.0,7409.0,7500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7400.0,7409.0,7412.0,7500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7500.0,7500.0,7503.0,7600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7500.0,7503.0,7506.0,7600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,7500.0,7506.0,7509.0,7600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,7500.0,7509.0,7512.0,7600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,7600.0,7600.0,7603.0,7700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,7600.0,7603.0,7606.0,7700.0,6.0,3.0,0.0,0,1.0
